no,nama_gereja,jumlah_anggota_jemaat,nama_pemimpin_gereja,status_gedung_gereja,kecamatan,,,,,,,,,,,,,,,
99,Gereja pentakosta indonesia,250,Pdt. H. Saragi MPdk,Permanen ,Air Putih,,,,,,,,,,,,,,,
100,HKBP CINTA DAMAI,200,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
101,HKBP Resort tanah tinggi,280,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
102,HKBP Sukaramai,130,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
103,GPdI cinta damai ,46,Pdt. R. Manurung ,Permanen ,Air Putih,,,,,,,,,,,,,,,
104,Gereja Pentakosta Indonesia Sukaramai,46,Sunggul Sihombing,Permanen ,Air Putih,,,,,,,,,,,,,,,
105,HKBP Indrapura kota,145,"Pdt. Danny EB Simanjuntak, S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
106,HKBP Maranata Tanjung Kuba,160,Pdt Roni Silitonga Mth,Permanen ,Air Putih,,,,,,,,,,,,,,,
107,HKI Indrapura,85,Pdt Simpan Sihombing Sth,Permanen ,Air Putih,,,,,,,,,,,,,,,
108,GBKP ( Gereja Batak Karo Protestan ),120,Pdt Lit Malemna Br Barus STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
109,HKBP Sei Brohol,78,Pdt D.Simanjuntak.STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
110,GKPS Indrapura,394,Pdt Maria Br Girsang STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
111,GMI Wesley Indrapura,119,Pdt Augustina Hutahaean. S.Th.,Permanen ,Air Putih,,,,,,,,,,,,,,,
112,HKBP Pasar Lapan ,136,M. Siburian,Permanen ,Air Putih,,,,,,,,,,,,,,,
113,GKPI Indrapura,648,Pdt.Naek Gultom Sth,Permanen ,Air Putih,,,,,,,,,,,,,,,
114,GPDI ( Gereja Pentakosta Di Indonesia ),96,Pdp.Aron Hiskia Siringo-ringo,Permanen ,Air Putih,,,,,,,,,,,,,,,
115,GPI ( Gereja Pentakosta Indonesia ),84,Pdt.J.Sitinjak,Permanen ,Air Putih,,,,,,,,,,,,,,,
116,GEPKIN Berdikari Hosana Tanjung Kubah,89,"Pdt James Sirait, SE",Permanen ,Air Putih,,,,,,,,,,,,,,,
